timestamp,open,high,low,close,volume,oi
2024-11-18 09:15:00+05:30,11180.22,11204.31,11178.67,11202.71,0,0
2024-11-18 09:16:00+05:30,11197.56,11204.34,11186.81,11188.03,0,0
2024-11-18 09:17:00+05:30,11188.14,11188.14,11178.6,11182.93,0,0
2024-11-18 09:18:00+05:30,11182.07,11200.41,11182.07,11199.24,0,0
2024-11-18 09:19:00+05:30,11195.73,11195.73,11190.72,11192.94,0,0
2024-11-18 09:20:00+05:30,11189.48,11190.03,11182.54,11190.03,0,0
2024-11-18 09:21:00+05:30,11189.2,11194.04,11187.52,11187.52,0,0
2024-11-18 09:22:00+05:30,11185.99,11193.65,11185.99,11193.65,0,0
2024-11-18 09:23:00+05:30,11193.2,11193.69,11186.08,11188.08,0,0
2024-11-18 09:24:00+05:30,11188.71,11188.71,11183.59,11185.11,0,0
2024-11-18 09:25:00+05:30,11186.5,11186.61,11181.03,11181.03,0,0
2024-11-18 09:26:00+05:30,11183.64,11183.64,11168.03,11170.02,0,0
2024-11-18 09:27:00+05:30,11171.33,11179.37,11171.33,11179.37,0,0
2024-11-18 09:28:00+05:30,11179.62,11183.56,11179.62,11182.05,0,0
2024-11-18 09:29:00+05:30,11181.24,11181.25,11175.34,11181.25,0,0
2024-11-18 09:30:00+05:30,11182.66,11189.86,11181.76,11189.86,0,0
2024-11-18 09:31:00+05:30,11194.1,11195.69,11193.62,11194.17,0,0
2024-11-18 09:32:00+05:30,11190.26,11190.26,11173.43,11173.43,0,0
2024-11-18 09:33:00+05:30,11165.34,11170.17,11162.89,11170.17,0,0
2024-11-18 09:34:00+05:30,11167.9,11168.73,11165.45,11168.73,0,0
2024-11-18 09:35:00+05:30,11169.71,11173.11,11166.21,11166.21,0,0
2024-11-18 09:36:00+05:30,11163.85,11163.85,11151.88,11153.23,0,0
2024-11-18 09:37:00+05:30,11154.77,11156.58,11152.38,11156.58,0,0
2024-11-18 09:38:00+05:30,11156.73,11159.26,11152.96,11152.96,0,0
2024-11-18 09:39:00+05:30,11148.1,11148.1,11143.08,11143.08,0,0
2024-11-18 09:40:00+05:30,11144.29,11144.77,11138.03,11138.03,0,0
2024-11-18 09:41:00+05:30,11139.93,11143.21,11134.56,11143.21,0,0
2024-11-18 09:42:00+05:30,11144.16,11150.06,11141.88,11143.26,0,0
2024-11-18 09:43:00+05:30,11143.09,11145.22,11141.32,11142.21,0,0
2024-11-18 09:44:00+05:30,11141.93,11145.53,11139.75,11141.08,0,0
