Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-18 00:00:00-04:00,76.10573767259497,76.9149820882663,75.41313682455909,76.54073333740234,135178400,0.0,0.0
2020-05-19 00:00:00-04:00,76.55772557449362,77.40585342154391,76.0668333890782,76.09842681884766,101729600,0.0,0.0
2020-05-20 00:00:00-04:00,76.95870878721165,77.64887695753947,76.91982513329616,77.57840728759766,111504800,0.0,0.0
2020-05-21 00:00:00-04:00,77.43987587720596,77.98180700129258,76.76185568975818,77.00001525878906,102688800,0.0,0.0
2020-05-22 00:00:00-04:00,76.73758349546506,77.57842883942001,76.63552036484441,77.49580383300781,81803200,0.0,0.0
2020-05-26 00:00:00-04:00,78.61608760624858,78.79591801457437,76.91496669977643,76.97086334228516,125522000,0.0,0.0
2020-05-27 00:00:00-04:00,76.82746893674557,77.45201756751574,76.08626195201565,77.30620574951172,112945200,0.0,0.0
2020-05-28 00:00:00-04:00,76.98057986946539,78.60150836399505,76.7035440312258,77.34024810791016,133560800,0.0,0.0
2020-05-29 00:00:00-04:00,77.58327517421819,78.04500657374922,76.90768735815497,77.26492309570312,153532400,0.0,0.0
2020-06-01 00:00:00-04:00,77.21873094429264,78.33661177403135,77.08749955314255,78.21510314941406,80791200,0.0,0.0
2020-06-02 00:00:00-04:00,77.94778801471988,78.60150505310432,77.50549481099908,78.57720184326172,87642800,0.0,0.0
2020-06-03 00:00:00-04:00,78.89800262449812,79.27225136733202,78.32447790282927,79.0097885131836,104491200,0.0,0.0
2020-06-04 00:00:00-04:00,78.83237030887165,79.13127678381436,77.95507416852828,78.3293228149414,87560400,0.0,0.0
2020-06-05 00:00:00-04:00,78.5796445797234,80.62098839416043,78.55048369064991,80.56023406982422,137250400,0.0,0.0
2020-06-08 00:00:00-04:00,80.25644625054122,81.07055551560038,79.54440749293843,81.03652954101562,95654400,0.0,0.0
